key,tr,eng,polski,

#UI_TEXT
INPUT01_text,"Birinci Sayı","First Number","Pierwszy Numer"
INPUT02_text,"İkinci Sayı","Second Number","Drugi Numer"
BTNmenu_exit,"ÇIKIŞ","EXIT","WYJŚCIE"
BTNmenu_resume,"DEVAM ET","RESUME","KONTYNUJ"
BTNmenu_apply,"KAYDET","APPLY","ZAPISZ"
BTNmenu_default,"VARSAYILAN","DEFAULT","RESETOWANIE"
BTNmenu_credits,"KREDİLER","CREDITS","KREDYTY"

#ITEM_NAME
ITEM00_name,"Elma","Apple","Jabłko"
ITEM01_name,"Portakal","orange","Pomarańczowy"
ITEM02_name,"Kiraz","Cherry","Wiśnia"
ITEM03_name,"Çilek","Strawberry","Truskawka"

#ITEM_EXPLANATION
ITEM00_explanation,"- Bu renkli ve lezzetli meyve, genellikle kırmızı, sarı, yeşil gibi çeşitli renklerde bulunur. Elmalar, özellikle C vitamini bakımından zengindirler. Bu sayede bağışıklık sistemimizi güçlendirmeye yardımcı olurlar.","- This colourful and delicious fruit is usually available in various colours such as red, yellow and green. Apples are especially rich in vitamin C. In this way, they help strengthen our immune system.","- Ten kolorowy i pyszny owoc jest zwykle dostępny w różnych kolorach, takich jak czerwony, żółty i zielony. Jabłka są szczególnie bogate w witaminę C. W ten sposób pomagają wzmocnić nasz układ odpornościowy."
ITEM01_explanation,"- Bu parlak ve lezzetli meyve, genellikle turuncu renkte bulunur. Portakallar özellikle C vitamini bakımından oldukça zengindir ve bu sayede bağışıklık sistemimizi güçlendirmeye yardımcı olurlar.","- This bright and delicious fruit is usually orange in colour. Oranges are especially rich in vitamin C, which helps to strengthen our immune system.","- Ten jasny i pyszny owoc ma zazwyczaj pomarańczowy kolor. Pomarańcze są szczególnie bogate w witaminę C, która pomaga wzmocnić nasz układ odpornościowy."
ITEM02_explanation,"- Bu küçük ve renkli meyve genellikle kırmızı veya koyu kırmızı renkte olabilir. Kirazlar özellikle C vitamini bakımından oldukça zengindir ve bu sayede bağışıklık sistemimizi güçlendirmeye yardımcı olurlar.","- This small and colourful fruit is usually red or dark red in colour. Cherries are particularly rich in vitamin C, which helps to strengthen our immune system.","- Ten mały i kolorowy owoc jest zazwyczaj czerwony lub ciemnoczerwony. Wiśnie są szczególnie bogate w witaminę C, która pomaga wzmocnić nasz układ odpornościowy."
ITEM03_explanation,"- Bu kırmızı ve parlak meyve genellikle tatlı bir lezzete sahiptir. Çilekler özellikle C vitamini bakımından zengindir, bu da bağışıklık sistemimizi güçlendirmeye yardımcı olur.","- This red and bright fruit usually has a sweet flavour. Strawberries are particularly rich in vitamin C, which helps to strengthen our immune system.","- Ten czerwony i jasny owoc ma zazwyczaj słodki smak. Truskawki są szczególnie bogate w witaminę C, która pomaga wzmocnić nasz układ odpornościowy."

#WARNING_TEXT
SAVE_SUCCESSFUL,"Seçilen ayarlar kaydedildi.","Selected settings saved.","Wybrane ustawienia zostały zapisane."
SAVE_ERROR,"Kayıt yapılırken, beklenmeyen bir hata meydana geldi!","Kayıt yapılırken, beklenmeyen bir hata meydana geldi!","Podczas rejestracji wystąpił nieoczekiwany błąd!"
INPUT_warning00,"- Lütfen tüm satırlara, 0 ile 10 aralığında tamsayılar girin!","- Please enter integers between 0 and 10 in all rows!","- Wprowadź liczby całkowite od 0 do 10 we wszystkich wierszach!"
SUB_warning00,"- İlk sayıyı ikinci sayıdan büyük giriniz!","- Enter the first number greater than the second number!","- Wprowadź pierwszą liczbę większą od drugiej!"
SUB_warning01,"- Örneğin, 7 - 2 ve ya 5 - 3 gibi.","- For example, 7 - 2 or 5 - 3.","- Na przykład 7 - 2 lub 5 - 3."
DIV_warning00,"- İlk sayıyı ikinci sayıdan büyük giriniz!","- Enter the first number greater than the second number!","- Wprowadź pierwszą liczbę większą od drugiej!"
DIV_warning01,"- Örneğin, 8 / 2 ve ya 6 / 3 gibi.","- For example, 8/DOMYŚLNY2 or 6/3.","- Na przykład 8 / 2 lub 6 / 3."
DIV_warning02,"- Bölme işleminde İkinci sayı(Payda) 0 olamaz!","- In diratowaćvision, the second number (denominator) cannot be 0!","- W dzieleniu druga liczba (mianownik) nie może być równa 0!"

#INFO_TEXT
ADD_info00,"- Toplama işleminde bütün elmaları sayarız.","- We count all the apples during the picking process.","- Podczas procesu zbierania liczymy wszystkie jabłka. "
ADD_info01,"- Üst sıradaki elmaların sayısı, alt sıradaki elmaların sayısından büyük ve ya küçük olabilir.","- The number of apples in the top row can be greater or less than the number of apples in the bottom row.","- Liczba jabłek w górnym rzędzie może być większa lub mniejsza od liczby jabłek w dolnym rzędzie."
ADD_info02,"- Burada toplam beş elma sayarız.","- We count a total of five apples here.","- Tutaj liczymy w sumie pięć jabłek."
SUB_info00,"- Çıkarma işleminde üst sıradaki elmalardan, alt sıradaki elmaların sayısı kadarını çıkarır ve üst sırada kalan elmaları sayarız.","- In subtraction, we subtract the number of apples in the top row from the number of apples in the bottom row and count the remaining apples in the top row.","- W odejmowaniu odejmujemy liczbę jabłek w górnym rzędzie od liczby jabłek w dolnym rzędzie i liczymy pozostałe jabłka w górnym rzędzie."
